P065	小學	中華基督教會協和小學     CCC HEEP WOH PRIMARY SCHOOL     http://www.heepwoh.edu.hk/	九龍太子道１９１號Ｂ	191B PRINCE EDWARD ROAD KOWLOON
P066	小學	中華基督教會何福堂小學     CCC HOH FUK TONG PRIMARY SCHOOL     http://www.hft.edu.hk	新界屯門龍門路４１號	41 LUNG MUN ROAD TUEN MUN NEW TERRITORIES
P067	小學	中華基督教會基真小學     CCC KEI CHUN PRIMARY SCHOOL     http://www.keichun.edu.hk	新界葵涌華荔徑１１號	11 WA LAI PATH KWAI CHUNG NEW TERRITORIES
P068	小學	中華基督教會基法小學     CCC KEI FAAT PRIMARY SCHOOL     http://www.kfp.edu.hk	九龍觀塘月華街３４號	34 YUET WAH STREET KWUN TONG KOWLOON
P069	小學	中華基督教會基法小學（油塘）     CCC KEI FAAT PRIMARY SCHOOL (YAU TONG)     http://www.kfps.edu.hk	九龍油塘油塘道２５號	25 YAU TONG ROAD YAU TONG KOWLOON
P070	小學	中華基督教會基全小學     CCC KEI TSUN PRIMARY SCHOOL     http://www.cccktps.edu.hk	九龍大角咀大角咀道１５０號	150 TAI KOK TSUI ROAD TAI KOK TSUI KOWLOON
P071	小學	中華基督教會基慈小學     CCC KEI TSZ PRIMARY SCHOOL     http://www.keitsz.edu.hk	九龍慈雲山道１５２號	152 TSZ WAN SHAN ROAD KOWLOON
P072	小學	中華基督教會基華小學（九龍塘）     CCC KEI WA PRI SCH (KOWLOON TONG)     http://www.kwpskt.edu.hk	九龍牛津道１號Ｂ	1B OXFORD ROAD KOWLOON
P073	小學	中華基督教會基華小學     CCC KEI WA PRIMARY SCHOOL     http://www.keiwa.edu.hk	九龍黃大仙黃菊路３號彩虹邨	CHOI HUNG ESTATE 3 WONG KUK AVENUE WONG TAI SIN KOWLOON
P074	小學	中華基督教會基慧小學     CCC KEI WAI PRIMARY SCHOOL     http://www.kws.edu.hk	新界荃灣荃景圍１６７－１８５號	167-185 TSUEN KING CIRCUIT TSUEN WAN NEW TERRITORIES
P075	小學	中華基督教會基慧小學（馬灣）     CCC KEI WAI PRIMARY SCHOOL (MA WAN)     http://www.kwmwps.edu.hk/	新界荃灣馬灣珀林路１２號	12 PAK LAM ROAD, PARK ISLAND MA WAN, TSUEN WAN NEW TERRITORIES
P076	小學	中華基督教會基灣小學     CCC KEI WAN PRIMARY SCHOOL     http://www.keiwan.edu.hk	香港筲箕灣西灣河街６３號	63 SAI WAN HO STREET SHAU KEI WAN HONG KONG
P077	小學	中華基督教會基灣小學（愛蝶灣）     CCC KEI WAN PRIMARY SCHOOL (ALDRICH BAY)     http://www.ccckeiwan.edu.hk	香港筲箕灣愛信道３９號	39 OI SHUN ROAD SHAUKEIWAN HONG KONG
P078	小學	中華基督教會蒙黃花沃紀念小學     CCC MONG WONG FAR YOK MEMORIAL PRI SCH     http://www.cccmwfys.edu.hk	新界屯門一區田景邨	TIN KING ESTATE AREA 1 TUEN MUN NEW TERRITORIES
P079	小學	中華基督教會望覺堂啓愛學校     CCC MONGKOK CHURCH KAI OI SCHOOL     http://www.cccmkckos.edu.hk/	九龍西洋菜１１１號地下至４樓	G/F-4/F 111 SAI YEUNG CHOI STREET KOWLOON
P080	小學	中華基督教會大澳小學     CCC TAI O PRIMARY SCHOOL     http://www.ccctaiops.edu.hk	新界大嶼山大澳街市街２４－２６號	24-26 MARKET STREET, TAI O LANTAU ISLAND NEW TERRITORIES
P081	小學	中華基督教會灣仔堂基道小學     CCC WANCHAI CHURCH KEI TO PRIMARY SCHOOL     http://keito.school.hk	九龍東莞街４５號	45 TUNG KUN STREET KOWLOON
P082	小學	中華基督教會灣仔堂基道小學（九龍城）     CCC WANCHAI CHURCH KEI TO PS (KLN CITY)     http://ktkc.edu.hk	九龍九龍城靠背壟道１７０號	170 KAU PUI LUNG ROAD KOWLOON CITY KOWLOON
